id:ID,name_ko,name_en,category,origin,definition,:LABEL
llm,LLM (대규모 언어 모델),Large Language Model,llm,2020-05,"방대한 텍스트로 학습되어, 입력 텍스트 다음에 올 토큰을 예측하는 방식으로 글을 생성하는 AI 모델. Hermes의 두뇌 역할을 하며, 도구 호출 능력을 통해 텍스트 생성을 넘어 실제 행동을 수행합니다. 예시: GPT-4o, Claude, Gemini, Llama가 모두 LLM입니다. Hermes는 이들을 갈아 끼울 수 있는 부품처럼 다룹니다.",Content
transformer,트랜스포머,Transformer,llm,2017-06,"2017년 논문 ""Attention Is All You Need""에서 제안된 신경망 구조로, 현대 LLM의 표준 아키텍처. 어텐션 메커니즘으로 문장 안의 단어 간 관계를 병렬로 계산합니다.",Content
attention,어텐션,Attention,llm,2014-09,"입력의 각 부분이 다른 부분을 '얼마나 참고할지'를 가중치로 계산하는 메커니즘. 컨텍스트 윈도우 안의 모든 토큰 쌍을 비교하므로, 컨텍스트가 길수록 계산 비용이 커집니다.",Content
token,토큰,Token,llm,1960년대(계산언어학),"LLM이 텍스트를 처리하는 최소 단위. 대략 영어 단어의 3/4, 한국어 1~2글자 수준입니다. API 요금과 컨텍스트 한도 모두 토큰 단위로 계산됩니다. 예시: ""안녕하세요""는 모델에 따라 2~4개 토큰으로 쪼개집니다. 128k 컨텍스트 모델이란 토큰 128,000개까지 볼 수 있다는 뜻입니다.",Content
context-window,컨텍스트 윈도우,Context Window,llm,2017-06,"모델이 한 번의 호출에서 볼 수 있는 토큰의 최대 개수. 대화형 API는 상태가 없어 매 호출마다 대화 전체를 다시 보내야 하므로, 대화가 길어지면 컨텍스트 압축이 필요해집니다. 예시: 200k 토큰 윈도우 모델에서 대화가 190k에 도달하면, Hermes는 압축을 실행해 여유를 확보합니다.",Content
system-prompt,시스템 프롬프트,System Prompt,llm,2019-11,"대화 시작 시 모델에게 역할·규칙·맥락을 지정하는 특별한 메시지. Hermes에서는 세션당 한 번 조립되어 대화 내내 바이트 단위로 고정됩니다(프롬프트 캐싱 보호). 재조립되는 유일한 예외는 컨텍스트 압축입니다. 예시: ""너는 Hermes라는 어시스턴트다. 다음 규칙을 지켜라...""로 시작하는 보이지 않는 첫 메시지가 시스템 프롬프트입니다.",Content
prompt,프롬프트,Prompt,llm,2018-06,모델에 입력으로 주는 텍스트 전체. 시스템 프롬프트 + 대화 이력 + 도구 결과가 모두 프롬프트에 포함되어 매 호출 전송됩니다.,Content
prompt-caching,프롬프트 캐싱,Prompt Caching,llm,2023-11,이전 호출과 앞부분(prefix)이 바이트 단위로 동일하면 그 구간의 계산(KV 캐시)을 재사용해 비용·지연을 크게 줄이는 제공자 기능. Hermes의 최상위 설계 원칙 — 과거 컨텍스트를 바꾸거나 시스템 프롬프트를 중간에 재조립하면 캐시가 무효화되므로 금지됩니다. 예시: 10만 토큰 대화에서 캐시가 적중하면 입력 비용이 최대 90% 절감됩니다. 반대로 시스템 프롬프트 한 글자만 바뀌어도 전체 캐시가 무효화됩니다.,Content
kv-cache,KV 캐시,KV Cache,llm,2019,어텐션 계산의 중간 결과(Key/Value)를 저장해 두는 캐시. 프롬프트 캐싱이 재사용하는 대상이 바로 이것입니다.,Content
sampling,샘플링 / 온도,Sampling / Temperature,llm,1950년대(정보이론),"모델이 다음 토큰을 고를 때 확률분포에서 뽑는 과정. 온도(temperature)가 높을수록 다양하고 낮을수록 결정적입니다. 자기일관성 같은 기법은 샘플링의 다양성을 활용합니다. 예시: 온도 0이면 같은 질문에 거의 같은 답, 온도 1이면 매번 다른 표현의 답이 나옵니다.",Content
